0|Accountant|11000|6|27|22|28
1|Actor|11001|7|49|54|34
2|Apothecary|11002|5|30|37|22
3|Artisan|11003|1|16|17|20
4|Artist|11004|3|21|19|27
5|Farmer|11005|2|25|20|33
6|Fisherman|11006|1|42|43|18
7|Housewife|11007|4|26|17|44
8|Hunter|11008|1|45|18|11
9|Laborer|11009|0|20|38|39
10|Merchant|11010|6|27|35|56
11|Messenger|11011|2|35|57|22
12|Midwife|11012|4|30|37|54
13|Monk|11013|5|36|29|34
14|Musician|11014|7|24|54|56
15|Noble|11015|8|48|54|22
16|Officer|11016|7|2|6|54
17|Panhandler|11017|3|35|48|4
18|Priest|11018|6|54|52|55
19|Prostitute|11019|8|49|55|5
20|Sailor|11020|1|38|39|42
21|Scholar|11021|5|22|34|29
22|Servant|11022|8|55|56|26
23|Soldier|11023|0|2|9|13
24|Spinster|11024|6|27|17|26
25|Surgeon|11025|3|30|18|22
26|Thief|11026|1|39|38|0
27|Vagabond|11027|2|43|35|45
